------------------------------ Training begins --------------------------------- 

Config: {'model_type': 'gru', 'input_size': 1, 'output_size': 5, 'n_hidden': 40, 'n_layers': 2, 'lr': 0.001, 'num_epochs': 4000} 

No. of trainable parameters: 16477

Epoch: 1/4000, Training MSE Loss:27.150008314, Val. MSE Loss:0.876735894, Time_Elapsed:5.2844 secs
Epoch: 200/4000, Training MSE Loss:0.000863388, Val. MSE Loss:0.000995211, Time_Elapsed:2452.0524 secs
Epoch: 400/4000, Training MSE Loss:0.000261938, Val. MSE Loss:0.000347998, Time_Elapsed:4971.1454 secs
Epoch: 600/4000, Training MSE Loss:0.000113807, Val. MSE Loss:0.000202708, Time_Elapsed:7485.9466 secs
Epoch: 800/4000, Training MSE Loss:0.000332031, Val. MSE Loss:0.000273632, Time_Elapsed:10006.2634 secs
Epoch: 1000/4000, Training MSE Loss:0.000076934, Val. MSE Loss:0.000078409, Time_Elapsed:12514.2695 secs
Epoch: 1200/4000, Training MSE Loss:0.000040889, Val. MSE Loss:0.000045468, Time_Elapsed:14931.4602 secs
Epoch: 1400/4000, Training MSE Loss:0.000058686, Val. MSE Loss:0.000076699, Time_Elapsed:16082.9563 secs
Epoch: 1600/4000, Training MSE Loss:0.000021243, Val. MSE Loss:0.000038850, Time_Elapsed:17165.5547 secs
Epoch: 1800/4000, Training MSE Loss:0.000012288, Val. MSE Loss:0.000020650, Time_Elapsed:18324.1961 secs
Epoch: 2000/4000, Training MSE Loss:0.000014383, Val. MSE Loss:0.000017737, Time_Elapsed:19389.8863 secs
Epoch: 2200/4000, Training MSE Loss:0.000012984, Val. MSE Loss:0.000012169, Time_Elapsed:20284.1700 secs
Epoch: 2400/4000, Training MSE Loss:0.000023574, Val. MSE Loss:0.000054818, Time_Elapsed:21370.8685 secs
Epoch: 2600/4000, Training MSE Loss:0.000040603, Val. MSE Loss:0.000033467, Time_Elapsed:22445.3316 secs
Epoch: 2800/4000, Training MSE Loss:0.000032235, Val. MSE Loss:0.000478576, Time_Elapsed:23515.1145 secs
Epoch: 3000/4000, Training MSE Loss:0.000013816, Val. MSE Loss:0.000009910, Time_Elapsed:24636.7913 secs
Epoch: 3200/4000, Training MSE Loss:0.000018097, Val. MSE Loss:0.000021779, Time_Elapsed:25744.0677 secs
Epoch: 3400/4000, Training MSE Loss:0.000011873, Val. MSE Loss:0.000005366, Time_Elapsed:26887.7087 secs
Epoch: 3600/4000, Training MSE Loss:0.000008950, Val. MSE Loss:0.000016084, Time_Elapsed:28021.7311 secs
Epoch: 3800/4000, Training MSE Loss:0.000011700, Val. MSE Loss:0.000009054, Time_Elapsed:29069.2078 secs
Epoch: 4000/4000, Training MSE Loss:0.000020069, Val. MSE Loss:0.000030703, Time_Elapsed:30227.3722 secs

Saving the best model at epoch=3979, with training loss=6.507209834627265e-06, validation loss=3.2757735122383264e-06
------------------------------ Training ends --------------------------------- 

